hcpcs_code,line_srvc_cnt,bene_unique_cnt,num_physicians_cnt,submitted_chrg_to_allowed_amt,average_submitted_chrg_amt,hcpcs_description,l_average_submitted_chrg_amt,l_submitted_chrg_to_allowed_amt,l_bene_unique_cnt,l_line_srvc_cnt,l_num_physicians_cnt,cluster
00103,71318.0,69564.0,2441,5.82765682508955,900.9463636115181,Anesthesia for procedure on eyelid,6.803445725993434,1.762615002777953,11.150002471127733,11.174904028959086,7.80016307039296,4
00104,142799.0,66466.0,2939,6.737763709722055,601.8337830095212,Anesthesia for electric shock treatment,6.399981299226395,1.907728076058687,11.104445817701192,11.86919332606198,7.985824666418917,4
00120,2425.0,2223.0,110,7.243546104614719,1453.8573360798098,Anesthesia for biopsy of external middle and inner ear,7.281975535040084,1.9801108799430347,7.706612913964197,7.793586803371584,4.700480365792417,4
00140,90030.0,83069.0,2560,5.8931363005701,858.7235834718348,Anesthesia for procedure on eye,6.755447081458561,1.7737883348213048,11.327426866720453,11.407898227102523,7.847762537473608,4
00142,1989403.0,1734195.0,22742,5.88309599514321,623.1723693792326,Anesthesia for lens surgery,6.434823156890764,1.7720831531286259,14.366053886747244,14.503345151691674,10.031968714184668,4
00144,9694.0,9214.0,430,6.475718302755185,1097.2011460686783,Anesthesia for procedure on eye for corneal transplant,7.000517803602347,1.8680595362212384,9.128479345495862,9.17926241640532,6.063785208687608,4
00145,80580.0,77816.0,2805,6.34153779182183,1076.3722256150177,Anesthesia for retinal surgery,6.981351615486604,1.8471212929528047,11.262102344549277,11.297005758745339,7.9391588179567965,4
00160,9220.0,9114.0,555,6.388286043300082,1043.5666355736078,Anesthesia for procedure on nose and sinus,6.95039958223944,1.8544660075750605,9.117566971823829,9.12913031655064,6.318968113746434,4
00170,3264.0,3137.0,156,5.725569209232449,913.5899785525426,Anesthesia for procedure on mouth including biopsy,6.817381869656538,1.7449419696913873,8.051022208190679,8.090708716083997,5.049856007249537,4
00210,6334.0,6221.0,332,6.405695918936989,3478.6236359325767,Anesthesia for procedure on brain,8.154391987619105,1.8571875818956265,8.73568594451502,8.753687227098585,5.805134968916488,4
00300,67445.0,64561.0,3696,6.866161296942472,1031.1760053377334,Anesthesia for procedure on esophagus and neck,6.93845518267479,1.9266051868863447,11.075365792291032,11.11906772990378,8.215006432761575,4
00320,33473.0,32816.0,1879,7.056409037795903,1478.255500553188,"Anesthesia for procedure on esophagus and neck, age 1 year or older",7.298617955683827,1.9539362872334525,10.398671480312162,10.41849442269534,7.538494999413465,4
