Tom,Horton
Patti,Hart
Jamie,Dimon
Steve,Cohen
Tim,Cook
Steve,Jobs
Daniel,Doctoroff
Laura,Lang
Andrew,Mason
Jeffrey,Gundlach
Tim,Armstrong
Elon,Musk
Maurice,Taylor
Mark,Benioff
Thomas,Jones
Don,Thompson
Ron,Johnson
Michael,Eisner
Mark,Zuckerberg
Apu,Gupta
Sergio,Marchionne
John,Thain
John,Bilbrey
Myron,Ullman
Ross,Levinsohn
Dick,Fuld
Alan,Mulally
Jeff,Bezos
Tim,Clark
Brady,Dougan
Stephen,Hester
Avishai,Abrahami
Graham,Weston
Joe,Magnacca
Antony,Jenkins
Steve,Ballmer
Brad,Katsuyama
John,Wren
Jonathan,Bush
Mario,Gabelli
Jayshree,Ullal
Robert,Thomas
David,Pyott
Lorenzo,Grabau
Lloyd,Blankfein
Genaro,Garcia
Indra,Nooyi
Javier,Romero
Mark,Fields
James,Mitarotonda
Jonathan,Lu
Bernardo,Hees
Tilman,Fertitta
Mark,Frissora
Jane,Mendillo
Dustin,Moskovitz
Carly,Fiorina
Tony,Posawatz
Glenn,Murphy
Frank,Lavin
Carlos,Rodriguez
Doug,Hodge
Josh,Brown
Sunny,Lee
Martin,Sorrell
Mark,Murray
Marc,Bolland
Ryo,Koyama
Anders,Elgemyr
Igor,Sechin
Harold,Wester
Petter,Havdal
Mark,Tibergien
Daniel,Loeb
Kimberly,Foss
Sascha,Lewis
Leigh,Drogen
Brian,Walsh
Jochen,Duemler
Larry,Fink
Jeremy,Allaire
Ian,Taylor
Marco,Dunand
Mark,Karpeles
Joe,Kaeser
Paul,Browning
Reggie,Agarwall
Laurent,Potdevin
Kyle,Vucko
Samantha,Shih
Mary,Barra
Walt,Bettinger
Eric,Schmidt
Lowell,McAdam
Jeff,Immelt
Michael,Johnson
Steve,Schwarzman
Clayton,Cohn
Tim,Mrock
Bob,Diamond
Don,Blandin
Ted,Beck
John,Thain
Joseph,Nacchio
Ken,Lin
Larry,Page
Richard,Grasso
Anand,Nallathambi
Rupert,Murdoch
Lloyd,Blankfein
Mohamed,El-Erian
Richard,Ketchum
Kazuo,Hirai
Fred,Smith
Sheldon,Adelson
Masayoshi,Son
Michael,O'Leary
Sergio,Ermotti
Christian,Laub
David,Drumm
John,Hammergren
Mickey,Arison
Nicholas,Kisberg
George,Zimmer
Doug,Ewert
Bryan,Mistele
Jon,Corzine
Lucas,Duplan
Marc,Benioff
Peter,Schiff
Joel,Horowitz
Travis,Tygart
Eike,Batista
Christine,Day
James,Fox
Richard,Branson
Tom,Joyce
Dan,Porter
Dan,Gilbert
Elon,Musk
Gary,Guthart
Klaus,Kleinfeld
Ron,Johnson
Sandy,Weill
Peter,Newcomb
David,Sadigh
Roger,Ferguson
Barry,Norris
Eddie,Lampert
Philippe,Laffont
Daniel,Nadler
Brian,Moynihan
Michael,Nathanson
Cole,Wilcox
Marissa,Mayer
Brian,Krzanich
Nelson,Peltz
Jamie,Dimon
Mike,Jackson
Steve,Ells
Alan,Silbert
MIchael,Dell
James,Gorman
Tim,Armstrong
Reed,Hastings
Daniel,Loeb
Don,Thompson
Tim,Cook
Julian,Robertson
Terence,Kawaja
Carsten,Schloter
Mark,Zuckerberg
Kevin,Systrom
David,Goldberg
Skiddy,Stade
Yasuchika,Hasegawa
Jim,McNerney
Alan,Mulally
Don,Mattrick
Travis,Kalanick
Steve,Cohen
Donald,Tomnitz
Richard,Dugas
John,McCarvel
Mark,Papa
Dan,Akerson
Steve,Ballmer
Howard,Schultz
Todd,Ruppert
Patrick,Byrne
Michael,Johnson
Steve,Wynn
Hank,Greenberg
Michael,Lynton
Amy,Pascal
Antony,Jenkins
Craig,Pfeiffer
Jeff,Weiner
Angela,Ahrendts
Dave,DeWalt
Sergio,Ermotti
Jamie,Dimon
Limin,Li
Tom,LaSorda
Sandy,Weill
Steve,Jobs
Frank,Bennack Jr.
Bill,Ackman
Mark,Cohen
Ron,Johnson
Jeff,Gomez
Jack,Welch
Mohamed,El-Erian
Steve,Brazier
Bill,Ackman
Michael,Corbat
Richard,Handler
Jamie,Dimon
Brian,Moynihan
David,Einhorn
November
Several
Crude
October
Europe
Many
United
Council
Treasury
Treasury
Treasury
Federal
Reserve
Federal
Reserve
Federal
Reserve
Treasury
October
Chairman
Policy
Treasury
January
Treasury
Various
Several
Federal
Reserve
Bank
New
York
System
Account
Federal
Open
Market
Desk
June
Treasury
December
Treasury
Desk
Treasury
January
Desk
Treasury
Desk
System
Open
Market
Account
Desk
Desk
Federal
Reserve
System
Open
Market
Account
Manager
System
South
Taiwan
December
House
Senate
White
House
Senate
Minority
Leader
Report
Good
South
Korea
South
Korea
Purchasing
December
May
New
December
Fiscal
Cliff
Aussie
Hong
Kong
Holiday
Washington
Senate
House
House
Fiscal
Cliff
Senate
Senate
Senate
America
Great
News
Romney
Voters
Congress
Just
Senate
Fiscal
Cliff
America
Congress
Mitt
Romney
Remember
Republican
Mitt
Romney
Romney
Social
Security
America
Senate
Senate
Romney
Your
New
Tax
Fiscal
Cliff
Senate
American
Taxpayer
Relief
Act
American
Taxpayer
Relief
Act
Tax
Policy
Center
Congress
Federal
Tax
Bill
House
Senate
Average
Federal
Tax
Changes
Center
Venture
Union
Square
Ventures
Fred
Wilson
Wilson
Wilson
Wilson
Internet
Union
Square
Ventures
Union
Square
Union
Square
Fred
Wilson
Wilson
Union
Square
Brad
Burnham
Albert
Wenger
House
Fiscal
Cliff
Senate
House
Boehner
Tea
Party
Jason
Chaffetz
Utah
Marro
Rubio
Heritage
Action
Regardless
Washington
American
America
Obama
Heritage
Action
Fiscal
Cliff
Fiscal
Cliff
Fiscal
Cliff
Dividend
Fiscal
Cliff
Congress
Your
New
Tax
House
Senate
Fiscal
Cliff
Fiscal
Cliff
March
Treasury
March
January
Senate
Fiscal
Cliff
House
Income
Washington
Brendan
Fiscal
Cliff
House
Senate
House
Citi
Steven
Monday
House
Malkiel
New
Year
Book
Many
New
Years
Wall
Street
Journal
Facebook
Wall
Street
Journal
Wall
Street
Facebook
Facebook
Morgan
Stanley
Morgan
Stanley
Morgan
Stanley
Facebook
Other
Facebook
Facebook
Facebook
Journal
Apple
Facebook
Big
Illustrated
Bridge
United
Nasdaq
Dow
European
Eye
Secular
Last
Bill
Gross
Jeremy
Grantham
Road
Zero
Growth
Adding
Economic
Growth
Over
Six
Gordon
New
Normal
Growth
Rate
Chris
Research
Affiliates
